bug_type,exc_type,exc_message,filename,lineno,count
bonus,ParseException,"Expected ':', found ' '  (at char 3), (line:1, col:4)",pyparsing/core.py,1340,1
bonus,ParseException,"Expected ':', found '!'  (at char 13), (line:1, col:14)",pyparsing/core.py,1340,1
bonus,ParseException,"Expected ':', found '""'  (at char 12), (line:1, col:13)",pyparsing/core.py,1340,2
bonus,ParseException,"Expected ':', found '""'  (at char 27), (line:1, col:28)",pyparsing/core.py,1340,1
bonus,ParseException,"Expected ':', found '('  (at char 11), (line:1, col:12)",pyparsing/core.py,1340,1
bonus,ParseException,"Expected ':', found ';'  (at char 12), (line:1, col:13)",pyparsing/core.py,1340,1
bonus,ParseException,"Expected ':', found '='  (at char 9), (line:1, col:10)",pyparsing/core.py,1340,1
bonus,ParseException,"Expected ':', found '@'  (at char 32), (line:1, col:33)",pyparsing/core.py,1340,1
bonus,ParseException,"Expected ':', found 'Gbb3'  (at char 11), (line:1, col:12)",pyparsing/core.py,1340,1
bonus,ParseException,"Expected ':', found 'Ibb3'  (at char 11), (line:1, col:12)",pyparsing/core.py,1340,1
bonus,ParseException,"Expected ':', found 'Ke'  (at char 22), (line:1, col:23)",pyparsing/core.py,1340,1
bonus,ParseException,"Expected ':', found 'Mb8c'  (at char 31), (line:1, col:32)",pyparsing/core.py,1340,1
bonus,ParseException,"Expected ':', found 'Y01'  (at char 2), (line:1, col:3)",pyparsing/core.py,1340,1
bonus,ParseException,"Expected ':', found '['  (at char 1), (line:1, col:2)",pyparsing/core.py,1340,1
bonus,ParseException,"Expected ':', found '['  (at char 8), (line:1, col:9)",pyparsing/core.py,1340,2
bonus,ParseException,"Expected ':', found '\'  (at char 12), (line:1, col:13)",pyparsing/core.py,1340,1
bonus,ParseException,"Expected ':', found 'f'  (at char 23), (line:1, col:24)",pyparsing/core.py,1340,1
bonus,ParseException,"Expected ':', found 'sfe'  (at char 27), (line:1, col:28)",pyparsing/core.py,1340,1
bonus,ParseException,"Expected ':', found 'v5'  (at char 8), (line:1, col:9)",pyparsing/core.py,1340,1
bonus,ParseException,"Expected ':', found 'z0'  (at char 28), (line:1, col:29)",pyparsing/core.py,1340,1
bonus,ParseException,"Expected ':', found 'z0'  (at char 29), (line:1, col:30)",pyparsing/core.py,1340,1
bonus,ParseException,"Expected ':', found '|'  (at char 1), (line:1, col:2)",pyparsing/core.py,1340,1
bonus,ParseException,"Expected ':', found end of text  (at char 29), (line:1, col:30)",pyparsing/core.py,1340,4
bonus,ParseException,"Expected ':', found end of text  (at char 34), (line:1, col:35)",pyparsing/core.py,1340,3
bonus,ParseException,"Expected W:(0-9A-Fa-f){1,5}, found 'Ndb8'  (at char 5), (line:1, col:6)",pyparsing/core.py,1340,4
bonus,ParseException,"Expected W:(0-9A-Fa-f){1,5}, found 'RNdb8'  (at char 5), (line:1, col:6)",pyparsing/core.py,1340,2
bonus,ParseException,"Expected W:(0-9A-Fa-f){1,5}, found 'ud152'  (at char 10), (line:1, col:11)",pyparsing/core.py,1340,1
bonus,ParseException,"Expected end of text, found '#'  (at char 10), (line:1, col:11)",pyparsing/core.py,1340,1
bonus,ParseException,"Expected end of text, found '&'  (at char 36), (line:1, col:37)",pyparsing/core.py,1340,1
bonus,ParseException,"Expected end of text, found '&'  (at char 37), (line:1, col:38)",pyparsing/core.py,1340,2
bonus,ParseException,"Expected end of text, found '.'  (at char 15), (line:1, col:16)",pyparsing/core.py,1340,1
bonus,ParseException,"Expected end of text, found 'v88'  (at char 36), (line:1, col:37)",pyparsing/core.py,1340,1
bonus,ParseException,"Expected end of text, found 'v88z'  (at char 36), (line:1, col:37)",pyparsing/core.py,1340,1
