bug_type,exc_type,exc_message,filename,lineno,count
bonus,ParseException,"Expected ':', found '.'  (at char 1), (line:1, col:2)",pyparsing/core.py,1340,2
bonus,ParseException,"Expected ':', found '.'  (at char 2), (line:1, col:3)",pyparsing/core.py,1340,1
bonus,ParseException,"Expected ':', found '.'  (at char 3), (line:1, col:4)",pyparsing/core.py,1340,4
bonus,ParseException,"Expected {W:(0-9A-Fa-f){1,5} ^ Group:({Combine:({['0']... ^ {Suppress:(['0']) (1-9)} ^ {Suppress:(['0']) W:(1-9, 0-9){2}} ^ {Suppress:(['0']) '1' W:(0-9){2}} ^ {Suppress:(['0']) '2' W:(0-4, 0-9){2}} ^ {Suppress:(['0']) '25' (0-4)}}) {Suppress:('.') Combine:({['0']... ^ {Suppress:(['0']) (1-9)} ^ {Suppress:(['0']) W:(1-9, 0-9){2}} ^ {Suppress:(['0']) '1' W:(0-9){2}} ^ {Suppress:(['0']) '2' W:(0-4, 0-9){2}} ^ {Suppress:(['0']) '25' (0-4)}})} {Suppress:('.') Combine:({['0']... ^ {Suppress:(['0']) (1-9)} ^ {Suppress:(['0']) W:(1-9, 0-9){2}} ^ {Suppress:(['0']) '1' W:(0-9){2}} ^ {Suppress:(['0']) '2' W:(0-4, 0-9){2}} ^ {Suppress:(['0']) '25' (0-4)}})} {Suppress:('.') Combine:({['0']... ^ {Suppress:(['0']) (1-9)} ^ {Suppress:(['0']) W:(1-9, 0-9){2}} ^ {Suppress:(['0']) '1' W:(0-9){2}} ^ {Suppress:(['0']) '2' W:(0-4, 0-9){2}} ^ {Suppress:(['0']) '25' (0-4)}})}})}, found end of text  (at char 2), (line:1, col:3)",pyparsing/core.py,1340,2
functional,FunctionalBug,Invalid ipv4 calculation.,buggy_ipyparse/ipv4_stv.py,134,16
functional,FunctionalBug,Invalid ipv4 calculation.,buggy_ipyparse\ipv4_stv.py,134,8
invalidity,InvalidityBug,One of the octets are empty,buggy_ipyparse/ipv4_stv.py,80,1
invalidity,InvalidityBug,One of the octets are empty,buggy_ipyparse\ipv4_stv.py,80,5
invalidity,ParseException,"Expected '.', found '1'  (at char 10), (line:1, col:11)",pyparsing/core.py,1340,4
invalidity,ParseException,"Expected '.', found '1'  (at char 3), (line:1, col:4)",pyparsing/core.py,1340,5
invalidity,ParseException,"Expected '.', found '1'  (at char 3), (line:1, col:4)",pyparsing\core.py,1340,14
invalidity,ParseException,"Expected '.', found '2'  (at char 8), (line:1, col:9)",pyparsing/core.py,1340,5
invalidity,ParseException,"Expected '.', found '2'  (at char 8), (line:1, col:9)",pyparsing\core.py,1340,2
invalidity,ParseException,"Expected '.', found ':'  (at char 4), (line:1, col:5)",pyparsing\core.py,1340,2
validity,ParseException,"Expected '.', found '5'  (at char 2), (line:1, col:3)",pyparsing/core.py,1340,6
validity,ParseException,"Expected '.', found '5'  (at char 2), (line:1, col:3)",pyparsing\core.py,1340,2
validity,ParseException,"Expected '.', found '5'  (at char 5), (line:1, col:6)",pyparsing/core.py,1340,2
validity,ParseException,"Expected '.', found '5'  (at char 5), (line:1, col:6)",pyparsing\core.py,1340,2
validity,ParseException,"Expected '.', found '5'  (at char 6), (line:1, col:7)",pyparsing/core.py,1340,4
validity,ParseException,"Expected '.', found '5'  (at char 6), (line:1, col:7)",pyparsing\core.py,1340,4
