run_id,iteration,target,bug_type,bug_key,input_data,stdout,stderr,returncode,timed_out,crashed,strategy,timestamp,is_representative
20260421_184832,1,cidrize,SYNTACTIC,916873d4343b3bff,235.76.6.6.6.6.6.6.6.6.6.*,"Running cidrize function with the arguments: ipstr: 235.76.6.6.6.6.6.6.6.6.6.* strict: False raise-errors: True
Syntax error caught for ipstr.
============================================================
TRACEBACK
============================================================
============================================================
Final bug count: defaultdict(<class 'int'>, {('syntactic', <class 'netaddr.core.AddrFormatError'>, 'invalid IPNetwork 235.76.6.6.6.6.6.6.6.6.6.*', 'netaddr\\i","Traceback (most recent call last):
  File ""netaddr\strategy\ipv4.py"", line 128, in str_to_int
  File ""netaddr\fbsocket.py"", line 147, in inet_pton
  File ""netaddr\fbsocket.py"", line 135, in _inet_pton_af_inet
OSError: illegal IP address string '235.76.6.6.6.6.6.6.6.6.6.*'

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File ""netaddr\ip\__init__.py"", line 346, in __init__
  File ""netaddr\strategy\ipv4.py"", line 132, in str_to_in",0,FALSE,FALSE,repeat_chunk,21/4/26 18:48,TRUE
20260421_184832,2,cidrize,FUNCTIONAL,04d990da15ef86fc,155.139.147.246[845],"Running cidrize function with the arguments: ipstr: 155.139.147.246[845] strict: False raise-errors: True
A functional bug has been triggered: 1-indexing used instead of 0-indexing.
============================================================
TRACEBACK
============================================================
============================================================
Final bug count: defaultdict(<class 'int'>, {('functional', <class 'buggy_cidrize.cidrize_stv.FunctionalBug'>, '1-index","Traceback (most recent call last):
  File ""cidrize_runner_stv.py"", line 247, in <module>
  File ""buggy_cidrize\cidrize_stv.py"", line 474, in cidrize
  File ""buggy_cidrize\cidrize_stv.py"", line 240, in parse_brackets
buggy_cidrize.cidrize_stv.FunctionalBug: 1-indexing used instead of 0-indexing.
",0,FALSE,FALSE,radamsa,21/4/26 18:48,TRUE
20260421_184832,4,cidrize,SYNTACTIC,9b3889c4f38ba8bf,108.24.223.54-18,"Running cidrize function with the arguments: ipstr: 108.24.223.54-18 strict: False raise-errors: True
Syntax error caught for ipstr.
============================================================
TRACEBACK
============================================================
============================================================
Final bug count: defaultdict(<class 'int'>, {('syntactic', <class 'netaddr.core.AddrFormatError'>, 'lower bound IP greater than upper bound!', 'netaddr\\ip\\__init__.py","Traceback (most recent call last):
  File ""cidrize_runner_stv.py"", line 247, in <module>
  File ""buggy_cidrize\cidrize_stv.py"", line 461, in cidrize
  File ""buggy_cidrize\cidrize_stv.py"", line 262, in parse_hyphen
  File ""netaddr\ip\__init__.py"", line 1479, in __init__
netaddr.core.AddrFormatError: lower bound IP greater than upper bound!
Traceback (most recent call last):
  File ""cidrize_runner_stv.py"", line 247, in <module>
  File ""buggy_cidrize\cidrize_stv.py"", line 461, in cidrize
 ",0,FALSE,FALSE,grammar_mutate,21/4/26 18:48,FALSE
20260421_184832,11,cidrize,SYNTACTIC,aa65bcb768c149a1,5.0.252.,"Running cidrize function with the arguments: ipstr: 5.0.252. strict: False raise-errors: True
Syntax error caught for ipstr.
============================================================
TRACEBACK
============================================================
============================================================
Final bug count: defaultdict(<class 'int'>, {('syntactic', <class 'netaddr.core.AddrFormatError'>, ""not a recognised IP glob range: '5.0.252.'!"", 'netaddr\\ip\\glob.py', 79): 1","Traceback (most recent call last):
  File ""cidrize_runner_stv.py"", line 247, in <module>
  File ""buggy_cidrize\cidrize_stv.py"", line 468, in cidrize
  File ""netaddr\ip\glob.py"", line 281, in __init__
  File ""netaddr\ip\glob.py"", line 79, in glob_to_iptuple
netaddr.core.AddrFormatError: not a recognised IP glob range: '5.0.252.'!
Traceback (most recent call last):
  File ""cidrize_runner_stv.py"", line 247, in <module>
  File ""buggy_cidrize\cidrize_stv.py"", line 468, in cidrize
  File ""net",0,FALSE,FALSE,truncate,21/4/26 18:50,FALSE
20260421_184832,20,cidrize,MISMATCH,4d516d30e83e936f,86.100.21.237-194.24.218.110,"Running cidrize function with the arguments: ipstr: 86.100.21.237-194.24.218.110 strict: False raise-errors: True
Output: [IPNetwork('86.100.21.237/32'), IPNetwork('86.100.21.238/31'), IPNetwork('86.100.21.240/28'), IPNetwork('86.100.22.0/23'), IPNetwork('86.100.24.0/21'), IPNetwork('86.100.32.0/19'), IPNetwork('86.100.64.0/18'), IPNetwork('86.100.128.0/17'), IPNetwork('86.101.0.0/16'), IPNetwork('86.102.0.0/15'), IPNetwork('86.104.0.0/13'), IPNetwork('86.112.0.0/12'), IPNetwork('86.128.0.0/9')",,0,FALSE,FALSE,grammar_mutate,21/4/26 18:51,TRUE
20260421_184832,23,cidrize,BONUS,9231e256791b49fc,199.224.224.188[43-19-19-19-19-19-19-19-19],"Running cidrize function with the arguments: ipstr: 199.224.224.188[43-19-19-19-19-19-19-19-19] strict: False raise-errors: True
An unknown exception has been triggered. too many values to unpack (expected 2)
============================================================
TRACEBACK
============================================================
============================================================
Final bug count: defaultdict(<class 'int'>, {('bonus', <class 'ValueError'>, 'too many value","Traceback (most recent call last):
  File ""cidrize_runner_stv.py"", line 247, in <module>
  File ""buggy_cidrize\cidrize_stv.py"", line 474, in cidrize
  File ""buggy_cidrize\cidrize_stv.py"", line 225, in parse_brackets
ValueError: too many values to unpack (expected 2)
Traceback (most recent call last):
  File ""cidrize_runner_stv.py"", line 247, in <module>
  File ""buggy_cidrize\cidrize_stv.py"", line 474, in cidrize
  File ""buggy_cidrize\cidrize_stv.py"", line 225, in parse_brackets
ValueErr",0,FALSE,FALSE,repeat_chunk,21/4/26 18:51,TRUE
20260421_184832,25,cidrize,SYNTACTIC,4f9ccecad997f4ea,"108.24"".223.54-18","Running cidrize function with the arguments: ipstr: 108.24"".223.54-18 strict: False raise-errors: True
Syntax error caught for ipstr.
============================================================
TRACEBACK
============================================================
============================================================
Final bug count: defaultdict(<class 'int'>, {('syntactic', <class 'netaddr.core.AddrFormatError'>, 'failed to detect a valid IP address from \'108.24"".223.54\'', 'neta","Traceback (most recent call last):
  File ""cidrize_runner_stv.py"", line 247, in <module>
  File ""buggy_cidrize\cidrize_stv.py"", line 461, in cidrize
  File ""buggy_cidrize\cidrize_stv.py"", line 262, in parse_hyphen
  File ""netaddr\ip\__init__.py"", line 1475, in __init__
  File ""netaddr\ip\__init__.py"", line 341, in __init__
netaddr.core.AddrFormatError: failed to detect a valid IP address from '108.24"".223.54'
Traceback (most recent call last):
  File ""cidrize_runner_stv.py"", line 247, in",0,FALSE,FALSE,insert_special_char,21/4/26 18:52,FALSE
20260421_184832,31,cidrize,INVALIDITY,926200c3eee686c6,247.165.102.**,"Running cidrize function with the arguments: ipstr: 247.165.102.** strict: False raise-errors: True
An invalidity bug has been triggered: More than permitted number of '*'
============================================================
TRACEBACK
============================================================
============================================================
Final bug count: defaultdict(<class 'int'>, {('invalidity', <class 'buggy_cidrize.cidrize_stv.InvalidCidrFormatError'>, ""More tha","Traceback (most recent call last):
  File ""cidrize_runner_stv.py"", line 247, in <module>
  File ""buggy_cidrize\cidrize_stv.py"", line 467, in cidrize
buggy_cidrize.cidrize_stv.InvalidCidrFormatError: More than permitted number of '*'
",0,FALSE,FALSE,repeat_chunk,21/4/26 18:53,TRUE
20260421_184832,33,cidrize,FUNCTIONAL,bcd393837ba16f68,183.243.95.200[38],"Running cidrize function with the arguments: ipstr: 183.243.95.200[38] strict: False raise-errors: True
A functional bug has been triggered: Unhandled case where bracket number is two digits.
============================================================
TRACEBACK
============================================================
============================================================
Final bug count: defaultdict(<class 'int'>, {('functional', <class 'buggy_cidrize.cidrize_stv.FunctionalBug'>","Traceback (most recent call last):
  File ""cidrize_runner_stv.py"", line 247, in <module>
  File ""buggy_cidrize\cidrize_stv.py"", line 474, in cidrize
  File ""buggy_cidrize\cidrize_stv.py"", line 232, in parse_brackets
buggy_cidrize.cidrize_stv.FunctionalBug: Unhandled case where bracket number is two digits.
",0,FALSE,FALSE,grammar_mutate,21/4/26 18:53,FALSE
20260421_184832,47,cidrize,SYNTACTIC,394712178edc063c,205.209.54.183-29.16.167.206,"Running cidrize function with the arguments: ipstr: 205.209.54.183-29.16.167.206 strict: False raise-errors: True
Syntax error caught for ipstr.
============================================================
TRACEBACK
============================================================
============================================================
Final bug count: defaultdict(<class 'int'>, {('syntactic', <class 'netaddr.core.AddrFormatError'>, 'lower bound IP greater than upper bound!', 'netaddr\\ip\","Traceback (most recent call last):
  File ""cidrize_runner_stv.py"", line 247, in <module>
  File ""buggy_cidrize\cidrize_stv.py"", line 451, in cidrize
  File ""buggy_cidrize\cidrize_stv.py"", line 275, in parse_range
  File ""netaddr\ip\__init__.py"", line 1479, in __init__
netaddr.core.AddrFormatError: lower bound IP greater than upper bound!
Traceback (most recent call last):
  File ""cidrize_runner_stv.py"", line 247, in <module>
  File ""buggy_cidrize\cidrize_stv.py"", line 451, in cidrize
  ",0,FALSE,FALSE,grammar_mutate,21/4/26 18:55,FALSE
