timestamp,run_id,statement_coverage,branch_coverage,function_coverage,map_density,total_inputs,coverage_source
2026-04-22 04:45:58,20260422_044558,42.86,24.29,37.97,0.0061,1,instrumented
2026-04-22 04:46:17,20260422_044558,42.86,24.29,37.97,0.0061,2,instrumented
2026-04-22 04:46:36,20260422_044558,42.86,24.29,37.97,0.0061,3,instrumented
2026-04-22 04:46:55,20260422_044558,46.94,24.29,40.98,0.0061,4,instrumented
2026-04-22 04:47:14,20260422_044558,46.94,24.29,40.98,0.0061,5,instrumented
2026-04-22 04:47:33,20260422_044558,46.94,24.29,40.98,0.0061,6,instrumented
2026-04-22 04:47:52,20260422_044558,51.02,28.57,45.11,0.0061,7,instrumented
2026-04-22 04:48:11,20260422_044558,51.02,28.57,45.11,0.0061,8,instrumented
2026-04-22 04:48:32,20260422_044558,51.02,28.57,45.11,0.0061,9,instrumented
2026-04-22 04:48:51,20260422_044558,51.02,28.57,45.11,0.0061,10,instrumented
2026-04-22 04:49:10,20260422_044558,56.12,28.57,48.12,0.0061,11,instrumented
2026-04-22 04:49:29,20260422_044558,56.12,28.57,48.12,0.0061,12,instrumented
2026-04-22 04:49:48,20260422_044558,56.12,28.57,48.12,0.0061,13,instrumented
2026-04-22 04:50:06,20260422_044558,56.12,28.57,48.12,0.0061,14,instrumented
2026-04-22 04:50:25,20260422_044558,63.78,30.0,54.89,0.0061,15,instrumented
2026-04-22 04:50:44,20260422_044558,63.78,30.0,54.89,0.0061,16,instrumented
2026-04-22 04:51:12,20260422_044558,63.78,30.0,54.89,0.0061,17,instrumented
2026-04-22 04:51:31,20260422_044558,63.78,30.0,54.89,0.0061,18,instrumented
2026-04-22 04:51:50,20260422_044558,63.78,30.0,54.89,0.0061,19,instrumented
2026-04-22 04:52:09,20260422_044558,63.78,30.0,54.89,0.0061,20,instrumented
2026-04-22 04:52:28,20260422_044558,63.78,30.0,54.89,0.0061,21,instrumented
2026-04-22 04:52:47,20260422_044558,63.78,30.0,54.89,0.0061,22,instrumented
2026-04-22 04:53:06,20260422_044558,63.78,30.0,54.89,0.0061,23,instrumented
2026-04-22 04:53:25,20260422_044558,63.78,30.0,54.89,0.0061,24,instrumented
2026-04-22 04:53:46,20260422_044558,63.78,30.0,54.89,0.0061,25,instrumented
2026-04-22 04:54:05,20260422_044558,63.78,30.0,54.89,0.0061,26,instrumented
2026-04-22 04:54:24,20260422_044558,63.78,30.0,54.89,0.0061,27,instrumented
2026-04-22 04:54:43,20260422_044558,63.78,30.0,54.89,0.0061,28,instrumented
2026-04-22 04:55:01,20260422_044558,65.31,30.0,55.64,0.0061,29,instrumented
2026-04-22 04:55:20,20260422_044558,65.31,30.0,55.64,0.0061,30,instrumented
2026-04-22 04:55:39,20260422_044558,65.31,30.0,55.64,0.0061,31,instrumented
2026-04-22 04:55:58,20260422_044558,65.31,30.0,55.64,0.0061,32,instrumented
2026-04-22 04:56:25,20260422_044558,65.82,30.0,55.64,0.0061,33,instrumented
2026-04-22 04:56:44,20260422_044558,65.82,30.0,55.64,0.0061,34,instrumented
2026-04-22 04:57:03,20260422_044558,65.82,30.0,55.64,0.0061,35,instrumented
2026-04-22 04:57:22,20260422_044558,65.82,30.0,55.64,0.0061,36,instrumented
2026-04-22 04:57:41,20260422_044558,65.82,30.0,55.64,0.0061,37,instrumented
2026-04-22 04:58:00,20260422_044558,65.82,30.0,55.64,0.0061,38,instrumented
2026-04-22 04:58:19,20260422_044558,65.82,30.0,55.64,0.0061,39,instrumented
2026-04-22 04:58:38,20260422_044558,65.82,30.0,55.64,0.0061,40,instrumented
2026-04-22 04:58:59,20260422_044558,65.82,30.0,55.64,0.0061,41,instrumented
2026-04-22 04:59:18,20260422_044558,65.82,30.0,55.64,0.0061,42,instrumented
2026-04-22 04:59:36,20260422_044558,65.82,30.0,55.64,0.0061,43,instrumented
2026-04-22 04:59:55,20260422_044558,65.82,30.0,55.64,0.0061,44,instrumented
2026-04-22 05:00:14,20260422_044558,65.82,30.0,55.64,0.0061,45,instrumented
