timestamp,run_id,statement_coverage,branch_coverage,function_coverage,map_density,total_inputs,coverage_source
2026-04-20 18:22:49,20260420_182249,55.0,50.0,54.17,0.0061,1,instrumented
2026-04-20 18:23:01,20260420_182249,71.74,50.0,70.0,0.0061,2,instrumented
2026-04-20 18:23:13,20260420_182249,71.74,50.0,70.0,0.0061,3,instrumented
2026-04-20 18:23:25,20260420_182249,71.74,50.0,70.0,0.0061,4,instrumented
2026-04-20 18:23:44,20260420_182249,71.74,50.0,70.0,0.0061,5,instrumented
2026-04-20 18:24:07,20260420_182249,71.74,50.0,70.0,0.0061,6,instrumented
2026-04-20 18:24:29,20260420_182249,71.74,50.0,70.0,0.0061,7,instrumented
2026-04-20 18:24:48,20260420_182249,71.74,50.0,70.0,0.0061,8,instrumented
2026-04-20 18:25:02,20260420_182249,71.74,50.0,70.0,0.0061,9,instrumented
2026-04-20 18:25:14,20260420_182249,71.74,50.0,70.0,0.0061,10,instrumented
2026-04-20 18:25:26,20260420_182249,71.74,50.0,70.0,0.0061,11,instrumented
2026-04-20 18:25:39,20260420_182249,71.74,50.0,70.0,0.0061,12,instrumented
2026-04-20 18:25:51,20260420_182249,71.74,50.0,70.0,0.0061,13,instrumented
2026-04-20 18:26:04,20260420_182249,71.74,50.0,70.0,0.0061,14,instrumented
2026-04-20 18:26:17,20260420_182249,71.74,50.0,70.0,0.0061,15,instrumented
2026-04-20 18:26:30,20260420_182249,71.74,50.0,70.0,0.0061,16,instrumented
2026-04-20 18:26:43,20260420_182249,71.74,50.0,70.0,0.0061,17,instrumented
2026-04-20 18:26:57,20260420_182249,71.74,50.0,70.0,0.0061,18,instrumented
2026-04-20 18:27:10,20260420_182249,71.74,50.0,70.0,0.0061,19,instrumented
2026-04-20 18:27:22,20260420_182249,71.74,50.0,70.0,0.0061,20,instrumented
2026-04-20 18:27:35,20260420_182249,71.74,50.0,70.0,0.0061,21,instrumented
2026-04-20 18:27:48,20260420_182249,71.74,50.0,70.0,0.0061,22,instrumented
2026-04-20 18:28:13,20260420_182249,71.74,50.0,70.0,0.0061,23,instrumented
2026-04-20 18:28:30,20260420_182249,71.74,50.0,70.0,0.0061,24,instrumented
2026-04-20 18:28:52,20260420_182249,71.74,50.0,70.0,0.0061,25,instrumented
2026-04-20 18:29:12,20260420_182249,71.74,50.0,70.0,0.0061,26,instrumented
2026-04-20 18:29:30,20260420_182249,71.74,50.0,70.0,0.0061,27,instrumented
2026-04-20 18:29:48,20260420_182249,71.74,50.0,70.0,0.0061,28,instrumented
2026-04-20 18:30:03,20260420_182249,71.74,50.0,70.0,0.0061,29,instrumented
2026-04-20 18:30:19,20260420_182249,71.74,50.0,70.0,0.0061,30,instrumented
2026-04-20 18:30:41,20260420_182249,71.74,50.0,70.0,0.0061,31,instrumented
2026-04-20 18:30:58,20260420_182249,71.74,50.0,70.0,0.0061,32,instrumented
2026-04-20 18:31:18,20260420_182249,71.74,50.0,70.0,0.0061,33,instrumented
2026-04-20 18:31:37,20260420_182249,71.74,50.0,70.0,0.0061,34,instrumented
2026-04-20 18:31:56,20260420_182249,71.74,50.0,70.0,0.0061,35,instrumented
2026-04-20 18:32:14,20260420_182249,71.74,50.0,70.0,0.0061,36,instrumented
2026-04-20 18:32:35,20260420_182249,71.74,50.0,70.0,0.0061,37,instrumented
2026-04-20 18:32:53,20260420_182249,71.74,50.0,70.0,0.0061,38,instrumented
2026-04-20 18:33:12,20260420_182249,71.74,50.0,70.0,0.0061,39,instrumented
2026-04-20 18:33:30,20260420_182249,71.74,50.0,70.0,0.0061,40,instrumented
2026-04-20 18:33:51,20260420_182249,71.74,50.0,70.0,0.0061,41,instrumented
2026-04-20 18:34:09,20260420_182249,71.74,50.0,70.0,0.0061,42,instrumented
2026-04-20 18:34:28,20260420_182249,71.74,50.0,70.0,0.0061,43,instrumented
2026-04-20 18:34:44,20260420_182249,71.74,50.0,70.0,0.0061,44,instrumented
2026-04-20 18:35:03,20260420_182249,71.74,50.0,70.0,0.0061,45,instrumented
2026-04-20 18:35:19,20260420_182249,71.74,50.0,70.0,0.0061,46,instrumented
2026-04-20 18:35:32,20260420_182249,71.74,50.0,70.0,0.0061,47,instrumented
2026-04-20 18:35:44,20260420_182249,71.74,50.0,70.0,0.0061,48,instrumented
2026-04-20 18:35:55,20260420_182249,71.74,50.0,70.0,0.0061,49,instrumented
2026-04-20 18:36:07,20260420_182249,71.74,50.0,70.0,0.0061,50,instrumented
2026-04-20 18:36:18,20260420_182249,71.74,50.0,70.0,0.0061,51,instrumented
2026-04-20 18:36:30,20260420_182249,71.74,50.0,70.0,0.0061,52,instrumented
