timestamp,run_id,statement_coverage,branch_coverage,function_coverage,map_density,total_inputs,coverage_source
2026-04-21 22:38:33,20260421_223833,59.09,50.0,57.69,0.0061,1,instrumented
2026-04-21 22:38:58,20260421_223833,62.82,50.0,59.3,0.0061,2,instrumented
2026-04-21 22:39:20,20260421_223833,62.82,50.0,59.3,0.0061,3,instrumented
2026-04-21 22:39:41,20260421_223833,62.82,50.0,59.3,0.0061,4,instrumented
2026-04-21 22:40:02,20260421_223833,75.64,50.0,72.09,0.0061,5,instrumented
2026-04-21 22:40:21,20260421_223833,75.64,50.0,72.09,0.0061,6,instrumented
2026-04-21 22:40:41,20260421_223833,75.64,50.0,72.09,0.0061,7,instrumented
2026-04-21 22:41:01,20260421_223833,79.49,50.0,75.58,0.0061,8,instrumented
2026-04-21 22:41:20,20260421_223833,79.49,50.0,75.58,0.0061,9,instrumented
2026-04-21 22:41:39,20260421_223833,79.49,50.0,75.58,0.0061,10,instrumented
2026-04-21 22:41:58,20260421_223833,79.49,50.0,75.58,0.0061,11,instrumented
2026-04-21 22:42:16,20260421_223833,79.49,50.0,75.58,0.0061,12,instrumented
2026-04-21 22:42:35,20260421_223833,79.49,50.0,75.58,0.0061,13,instrumented
2026-04-21 22:42:55,20260421_223833,79.49,50.0,75.58,0.0061,14,instrumented
2026-04-21 22:43:15,20260421_223833,79.49,50.0,75.58,0.0061,15,instrumented
2026-04-21 22:43:34,20260421_223833,79.49,50.0,75.58,0.0061,16,instrumented
2026-04-21 22:43:53,20260421_223833,79.49,50.0,75.58,0.0061,17,instrumented
2026-04-21 22:44:12,20260421_223833,79.49,50.0,75.58,0.0061,18,instrumented
2026-04-21 22:44:35,20260421_223833,79.49,50.0,75.58,0.0061,19,instrumented
2026-04-21 22:44:58,20260421_223833,79.49,50.0,75.58,0.0061,20,instrumented
2026-04-21 22:45:23,20260421_223833,79.49,50.0,75.58,0.0061,21,instrumented
2026-04-21 22:45:46,20260421_223833,79.49,50.0,75.58,0.0061,22,instrumented
2026-04-21 22:46:09,20260421_223833,79.49,50.0,75.58,0.0061,23,instrumented
2026-04-21 22:46:31,20260421_223833,79.49,50.0,75.58,0.0061,24,instrumented
2026-04-21 22:46:53,20260421_223833,79.49,50.0,75.58,0.0061,25,instrumented
2026-04-21 22:47:15,20260421_223833,82.05,50.0,77.91,0.0061,26,instrumented
