timestamp,run_id,statement_coverage,branch_coverage,function_coverage,map_density,total_inputs,coverage_source
2026-04-22 16:22:38,20260422_162238,59.09,50.0,57.69,0.0061,1,instrumented
2026-04-22 16:22:42,20260422_162238,79.49,50.0,75.58,0.0061,2,instrumented
2026-04-22 16:22:46,20260422_162238,79.49,50.0,75.58,0.0061,3,instrumented
2026-04-22 16:22:50,20260422_162238,79.49,50.0,75.58,0.0061,4,instrumented
2026-04-22 16:22:55,20260422_162238,79.49,50.0,75.58,0.0061,5,instrumented
2026-04-22 16:22:59,20260422_162238,79.49,50.0,75.58,0.0061,6,instrumented
2026-04-22 16:23:03,20260422_162238,79.49,50.0,75.58,0.0061,7,instrumented
2026-04-22 16:23:07,20260422_162238,79.49,50.0,75.58,0.0061,8,instrumented
2026-04-22 16:23:12,20260422_162238,79.49,50.0,75.58,0.0061,9,instrumented
2026-04-22 16:23:16,20260422_162238,79.49,50.0,75.58,0.0061,10,instrumented
2026-04-22 16:23:21,20260422_162238,79.49,50.0,75.58,0.0061,11,instrumented
2026-04-22 16:23:25,20260422_162238,82.05,50.0,77.91,0.0061,12,instrumented
2026-04-22 16:23:29,20260422_162238,82.05,50.0,77.91,0.0061,13,instrumented
2026-04-22 16:23:34,20260422_162238,82.05,50.0,77.91,0.0061,14,instrumented
2026-04-22 16:23:38,20260422_162238,82.05,50.0,77.91,0.0061,15,instrumented
2026-04-22 16:23:43,20260422_162238,82.05,50.0,77.91,0.0061,16,instrumented
2026-04-22 16:23:47,20260422_162238,82.05,50.0,77.91,0.0061,17,instrumented
2026-04-22 16:23:51,20260422_162238,82.05,50.0,77.91,0.0061,18,instrumented
2026-04-22 16:23:55,20260422_162238,82.05,50.0,77.91,0.0061,19,instrumented
2026-04-22 16:24:00,20260422_162238,82.05,50.0,77.91,0.0061,20,instrumented
2026-04-22 16:24:04,20260422_162238,82.05,50.0,77.91,0.0061,21,instrumented
2026-04-22 16:24:08,20260422_162238,82.05,50.0,77.91,0.0061,22,instrumented
2026-04-22 16:24:13,20260422_162238,82.05,50.0,77.91,0.0061,23,instrumented
