behavioral_metric,binary_branch_coverage,binary_coverage_data_valid,binary_coverage_source,binary_function_coverage,binary_instrumentation_error,binary_statement_coverage,branch_coverage,coverage_data_valid,coverage_source,execution_metric,function_coverage,iteration,new_path_found,reference_branch_coverage,reference_coverage_data_valid,reference_coverage_source,reference_function_coverage,reference_instrumentation_error,reference_statement_coverage,run_id,statement_coverage,target,timestamp,total_inputs,tracking_mode
204.0,,,,,,,53.62,,instrumented,47.0,52.71,690,False,,,,,,,20260409_133542,52.32,json_decoder,2026-04-09 05:57:38.569000+00:00,690,code_execution
70.0,,,,,,,48.55,,instrumented,37.0,47.72,185,False,,,,,,,20260409_133542,47.37,json_decoder,2026-04-09 05:43:34.097000+00:00,185,code_execution
10.0,,,,,,,34.06,,instrumented,24.0,33.84,41,False,,,,,,,20260414_124032,33.75,json_decoder,2026-04-14 04:41:34.180000+00:00,41,code_execution
8.0,,,,,,,38.41,,instrumented,10.0,39.48,22,False,,,,,,,20260409_130402,39.94,json_decoder,2026-04-09 05:04:57.786000+00:00,22,code_execution
37.0,,,,,,,50.0,,instrumented,29.0,49.67,92,False,,,,,,,20260409_130402,49.54,json_decoder,2026-04-09 05:06:11.183000+00:00,92,code_execution
110.0,,,,,,,110.0,,proxy,0.0,110.0,122,True,,,,,,,20260409_141821,110.0,cidrize,2026-04-09 06:41:35.986000+00:00,122,code_execution
58.0,,,,,,,42.75,,instrumented,31.0,44.25,138,False,,,,,,,20260409_151209,44.89,json_decoder,2026-04-09 07:18:08.788000+00:00,138,code_execution
139.0,,,,,,,53.62,,instrumented,47.0,52.71,469,False,,,,,,,20260409_133542,52.32,json_decoder,2026-04-09 05:51:25.637000+00:00,469,code_execution
153.0,,,,,,,53.62,,instrumented,47.0,52.71,510,False,,,,,,,20260409_133542,52.32,json_decoder,2026-04-09 05:52:37.378000+00:00,510,code_execution
41.0,,,,,,,50.72,,instrumented,30.0,49.89,100,False,,,,,,,20260409_130402,49.54,json_decoder,2026-04-09 05:06:17.022000+00:00,100,code_execution
109.0,,,,,,,52.17,,instrumented,43.0,51.41,338,False,,,,,,,20260409_133542,51.08,json_decoder,2026-04-09 05:47:41.468000+00:00,338,code_execution
120.0,,,,,,,54.35,,instrumented,38.0,52.49,438,False,,,,,,,20260409_130402,51.7,json_decoder,2026-04-09 05:09:52.465000+00:00,438,code_execution
4.0,,,,,,,26.09,,instrumented,6.0,30.15,6,False,,,,,,,20260414_125516,31.89,json_decoder,2026-04-14 04:55:36.666000+00:00,6,code_execution
6.0,,,,,,,37.68,,instrumented,8.0,39.05,6,True,,,,,,,20260409_130402,39.63,json_decoder,2026-04-09 05:04:40.382000+00:00,6,code_execution
7.0,,,,,,,31.16,,proxy,10.0,31.27,24,False,,,,,,,20260418_183800,31.27,json_decoder,2026-04-18 10:38:38.696000+00:00,24,code_execution
10.0,,,,,,,42.03,,instrumented,180.0,41.87,35,False,,,,,,,20260414_133605,41.8,json_decoder,2026-04-14 05:36:56.535000+00:00,35,code_execution
4.0,,,,,,,31.16,,instrumented,6.0,33.84,6,True,,,,,,,20260414_152446,34.98,json_decoder,2026-04-14 07:25:57.600000+00:00,6,code_execution
14.0,,,,,,,33.33,,instrumented,10.0,35.57,31,False,,,,,,,20260414_152446,36.53,json_decoder,2026-04-14 07:26:44.030000+00:00,31,code_execution
114.0,,,,,,,54.35,,instrumented,38.0,52.49,406,False,,,,,,,20260409_130402,51.7,json_decoder,2026-04-09 05:09:31.712000+00:00,406,code_execution
