iteration,timestamp,input,bug_type,is_new,exit_code
1,0.000,'1k92.0.2.18',RELIABILITY,1,0
2,11.419,'16',RELIABILITY,0,0
3,22.780,'1k92.8.2.18',RELIABILITY,0,0
4,34.274,'10.0.0.[1-9].1',RELIABILITY,0,0
5,45.763,'10.0.0.L1-10.0.0.10',RELIABILITY,0,0
6,57.172,'127.0.0.&&1',RELIABILITY,0,0
7,68.569,'256.0.0.1',RELIABILITY,0,0
8,79.927,'.00.0.0/0',RELIABILITY,0,0
9,91.291,'192.0.2.2.2.2.2.2.2.18',RELIABILITY,0,0
10,102.720,'0.0.0.0/9999999999999999999999990',RELIABILITY,0,0
11,114.189,'192.168.1.1.1',RELIABILITY,0,0
12,126.827,'224.0.0.1.1.1.1.1.1.1.1',RELIABILITY,0,0
13,141.188,'10.0.0.1-10.0n0.10',RELIABILITY,0,0
14,152.604,'10.0.0O.[1-9]',FUNCTIONAL,1,0
15,164.012,'127\x0e0.0.1',RELIABILITY,0,0
16,175.430,'25g5.255.255.255',RELIABILITY,0,0
17,186.888,'192.0.2.8[0-5]/-1',RELIABILITY,0,0
18,198.392,'192.0.Q20.64/26',RELIABILITY,0,0
19,209.834,'192.0.2.80-192.0.2.85',RELIABILITY,0,0
20,221.221,'192.0.2',RELIABILITY,0,0
21,232.628,'10.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.[1-9]',FUNCTIONAL,0,0
22,244.016,'10.°.0.1-10',RELIABILITY,0,0
23,255.375,'10.0.0O.[1-9].1',RELIABILITY,0,0
24,266.719,'{10.0.0.[123]',FUNCTIONAL,0,0
25,278.127,'16952.4.0.1',RELIABILITY,0,0
26,305.429,'1k92.0..218',RELIABILITY,0,0
27,316.830,'192.0.2.80-/../192.0.2.85',RELIABILITY,0,0
28,328.195,'j192.0.2.[5678]',FUNCTIONAL,0,0
29,339.607,'r55.255.255.255',RELIABILITY,0,0
30,351.017,"""10.0.0O.[1-9]'""",RELIABILITY,0,0
31,362.375,'.k92.0.2118',RELIABILITY,0,0
32,373.743,'1y0.0.0.1-10',RELIABILITY,0,0
33,385.113,'192.0.20.64/26',RELIABILITY,0,0
34,396.468,'0.0.0.00/',RELIABILITY,0,0
35,407.876,'-1.2.3.4',RELIABILITY,1,2
36,419.247,"'""127.0.0.1'",RELIABILITY,0,0
37,431.275,'192.0.20.64/26',RELIABILITY,0,0
38,445.848,'10.0.0.[1-9].1',RELIABILITY,0,0
39,457.256,'10.0.0.1[1-9]',FUNCTIONAL,0,0
40,468.649,'192.0\r.2.8[0-5]',FUNCTIONAL,0,0
41,480.018,'10.0.0.1-10.0.0.10',RELIABILITY,0,0
42,491.383,'192.0.20.64/2/2/2/2/2/2/26',INVALIDITY,1,0
43,502.834,'1k92.0.2.18',RELIABILITY,0,0
44,514.221,'192.0.20.64/2/2/2/2/a2/2/26',RELIABILITY,0,0
45,525.611,'192.0.2.80-192',RELIABILITY,0,0
46,536.990,'10.0.0000000000.[123]',FUNCTIONAL,0,0
47,548.370,'10.0.0.1-10.0.2.10',RELIABILITY,0,0
48,559.732,'192.0.2.80-192.0.2.85',RELIABILITY,0,0
49,571.109,'::ffff:192.0.20.64',RELIABILITY,0,0
50,582.493,'10.0.0O.[1-9]}',FUNCTIONAL,0,0
51,609.739,'192.0.2.18/-1',RELIABILITY,0,0
52,621.113,'192.0.20.64/2/2/2/2/2/2/26',INVALIDITY,0,0
53,632.496,'10.0.0O*[1-9]',RELIABILITY,0,0
54,643.882,'192.0.2.[5678]',FUNCTIONAL,0,0
55,655.275,'10.0.0.1-10.0.0.10',RELIABILITY,0,0
56,666.689,'-1.2.3.4',RELIABILITY,0,2
57,678.053,'1.4.3.2',RELIABILITY,0,0
58,689.447,'10.0&0.[123]',FUNCTIONAL,0,0
59,700.872,'10.0.0',RELIABILITY,0,0
60,712.251,'192.00.2.18',RELIABILITY,0,0
61,723.694,'1k92.0.2.18',RELIABILITY,0,0
62,735.616,'192.0.208.-192.0.2.85',INVALIDITY,1,0
63,750.066,'10.0.8.[1-9]',FUNCTIONAL,0,0
64,761.439,'10.0.0.1-10.0c.0.10',RELIABILITY,0,0
65,772.841,'255.255.',RELIABILITY,0,0
66,784.227,'19j2.0.2.[5678]',FUNCTIONAL,0,0
67,795.601,'1.2.3.1.2.3.1.2.3.1.2.3.1.2.3.4',RELIABILITY,0,0
68,806.994,'10.0.0.1-1q0.0.0.10',RELIABILITY,0,0
69,818.381,'192.0.2.170-177777777775',RELIABILITY,0,0
70,829.780,'10.0...1-1000.0.10',RELIABILITY,0,0
71,841.139,'10',RELIABILITY,0,0
72,852.633,'192.0.25170-17.',RELIABILITY,0,0
73,864.014,'::ffff:10.0.0.[1-9]',FUNCTIONAL,0,0
74,875.525,'10.0.0.H1-10.0.0.10',RELIABILITY,0,0
75,886.931,'255.255.255.2.255.2.255.2.255.2.255.2.255.2.255.255',RELIABILITY,0,0
76,914.213,'1.2.3.44444444',RELIABILITY,0,0
