iteration,timestamp,input,bug_type,is_new,exit_code
1,0.000,'>9.100.220.30',INVALIDITY,1,0
2,11.331,'137.96.90.1118',INVALIDITY,1,0
3,34.022,'192.168.001.0000000000000000001',INVALIDITY,1,0
4,45.462,'114.110.57.252.184',INVALIDITY,1,0
5,56.717,'>9.100.222222220.30',INVALIDITY,0,0
6,67.965,'154.',INVALIDITY,0,0
7,79.063,'48.102.110e.60',INVALIDITY,1,0
8,90.170,'116.12.0.\x1227',INVALIDITY,0,0
9,101.268,'2',INVALIDITY,1,0
10,112.372,'2°.227.65.30',INVALIDITY,1,0
11,134.632,'152.81.67.68.123.133.57.68.179.206.149.222',INVALIDITY,1,0
12,145.719,'251.150.160.50.78',INVALIDITY,0,0
13,156.786,'87.119.27.34.15',INVALIDITY,0,0
14,167.734,'172.194.27.82.170.43.16',INVALIDITY,1,0
15,178.837,'10.57.10.162.168',INVALIDITY,0,0
16,204.557,'48.102.11',INVALIDITY,1,0
17,216.358,'252.93.206.139.216',INVALIDITY,0,0
18,227.452,'1.2',INVALIDITY,1,0
19,238.543,'1.2..3.4',INVALIDITY,0,0
20,260.722,'196.112',INVALIDITY,1,0
21,271.811,'20.2',INVALIDITY,1,0
22,282.917,'115.110.47.252.184',INVALIDITY,0,0
23,295.939,'143.87.184.163.100.187.232.72.169.208.73.33',INVALIDITY,0,0
24,307.485,'192.168.001.000001',INVALIDITY,0,0
25,330.219,'152.81.67.68.123.133.57.68.179.20.179.206.149.222',INVALIDITY,0,0
26,341.324,'48.102.11111111111',INVALIDITY,1,0
27,352.422,'114.110.57.252.184',INVALIDITY,0,0
28,363.493,'48.102.111±1111111',INVALIDITY,1,0
29,374.569,'196.112',INVALIDITY,0,0
30,385.847,'152.81.67.68.123.133.57.68.179.206.149.222',INVALIDITY,0,0
31,397.026,'88.123.25',INVALIDITY,0,0
32,408.140,'172.194.27.8.8.8.82.170.43.16',INVALIDITY,0,0
33,419.230,'251.48.218.32.141',INVALIDITY,0,0
34,441.436,'230.231.1',INVALIDITY,0,0
35,463.655,'112.67.125',INVALIDITY,1,0
36,463.657,'48.10\x002.11',RELIABILITY,1,-1
37,474.790,'20.227.65.b30',INVALIDITY,0,0
38,485.973,'20.227.',INVALIDITY,0,0
39,523.665,'152.81.67.68.123.1H33.57.68.179.206.149.222',INVALIDITY,0,0
40,534.793,'20.2',INVALIDITY,0,0
41,545.868,'107.200.15.74.214.23.135.17.36.16.243.118',INVALIDITY,0,0
42,557.006,'63.7.225.167.43',INVALIDITY,0,0
43,579.200,'20.227.6',INVALIDITY,1,0
44,590.356,'137.152.230.225.230',INVALIDITY,1,0
45,603.380,'16.26',INVALIDITY,1,0
46,614.997,'121.126.148',INVALIDITY,1,0
47,626.409,'50.138.8.70.40',INVALIDITY,1,0
48,648.971,'31.151',INVALIDITY,1,0
49,660.049,'245.129.154',INVALIDITY,0,0
50,682.277,'88.12',INVALIDITY,0,0
