timestamp,run_id,statement_coverage,branch_coverage,function_coverage,total_inputs,coverage_source
2026-04-05 15:43:02,20260405_154302,2.0,2.0,2.0,1,proxy
2026-04-05 15:43:13,20260405_154302,4.0,4.0,4.0,2,proxy
2026-04-05 15:43:24,20260405_154302,6.0,6.0,6.0,3,proxy
2026-04-05 15:43:36,20260405_154302,8.0,8.0,8.0,4,proxy
2026-04-05 15:43:47,20260405_154302,10.0,10.0,10.0,5,proxy
2026-04-05 15:43:58,20260405_154302,10.0,10.0,10.0,6,proxy
2026-04-05 19:47:39,20260405_194739,2.0,2.0,2.0,1,proxy
2026-04-05 19:47:50,20260405_194739,4.0,4.0,4.0,2,proxy
2026-04-05 19:48:01,20260405_194739,6.0,6.0,6.0,3,proxy
2026-04-05 19:48:12,20260405_194739,8.0,8.0,8.0,4,proxy
2026-04-05 19:48:24,20260405_194739,10.0,10.0,10.0,5,proxy
2026-04-05 19:48:35,20260405_194739,12.0,12.0,12.0,6,proxy
2026-04-05 19:48:46,20260405_194739,14.0,14.0,14.0,7,proxy
2026-04-05 19:48:57,20260405_194739,14.0,14.0,14.0,8,proxy
2026-04-05 19:49:08,20260405_194739,14.0,14.0,14.0,9,proxy
2026-04-05 19:49:20,20260405_194739,16.0,16.0,16.0,10,proxy
2026-04-05 19:49:46,20260405_194739,16.0,16.0,16.0,11,proxy
2026-04-05 19:49:57,20260405_194739,18.0,18.0,18.0,12,proxy
2026-04-05 19:50:09,20260405_194739,18.0,18.0,18.0,13,proxy
2026-04-05 19:50:20,20260405_194739,20.0,20.0,20.0,14,proxy
2026-04-05 19:50:31,20260405_194739,22.0,22.0,22.0,15,proxy
2026-04-05 19:50:42,20260405_194739,22.0,22.0,22.0,16,proxy
2026-04-05 19:50:54,20260405_194739,22.0,22.0,22.0,17,proxy
2026-04-05 19:51:05,20260405_194739,22.0,22.0,22.0,18,proxy
2026-04-05 19:51:17,20260405_194739,22.0,22.0,22.0,19,proxy
2026-04-05 19:51:29,20260405_194739,24.0,24.0,24.0,20,proxy
2026-04-05 19:51:40,20260405_194739,26.0,26.0,26.0,21,proxy
2026-04-05 19:51:51,20260405_194739,28.0,28.0,28.0,22,proxy
2026-04-05 19:52:02,20260405_194739,30.0,30.0,30.0,23,proxy
2026-04-05 19:52:14,20260405_194739,30.0,30.0,30.0,24,proxy
2026-04-05 19:52:25,20260405_194739,30.0,30.0,30.0,25,proxy
2026-04-05 19:52:36,20260405_194739,32.0,32.0,32.0,26,proxy
2026-04-05 19:52:47,20260405_194739,32.0,32.0,32.0,27,proxy
2026-04-05 19:52:58,20260405_194739,34.0,34.0,34.0,28,proxy
2026-04-05 19:53:09,20260405_194739,36.0,36.0,36.0,29,proxy
2026-04-05 19:53:20,20260405_194739,38.0,38.0,38.0,30,proxy
2026-04-05 19:53:32,20260405_194739,40.0,40.0,40.0,31,proxy
2026-04-05 19:53:43,20260405_194739,40.0,40.0,40.0,32,proxy
2026-04-05 19:53:54,20260405_194739,42.0,42.0,42.0,33,proxy
2026-04-05 19:54:05,20260405_194739,44.0,44.0,44.0,34,proxy
2026-04-05 19:54:16,20260405_194739,44.0,44.0,44.0,35,proxy
2026-04-05 19:54:27,20260405_194739,44.0,44.0,44.0,36,proxy
2026-04-05 19:54:53,20260405_194739,46.0,46.0,46.0,37,proxy
2026-04-05 19:55:04,20260405_194739,48.0,48.0,48.0,38,proxy
2026-04-05 19:55:15,20260405_194739,50.0,50.0,50.0,39,proxy
2026-04-05 19:55:27,20260405_194739,52.0,52.0,52.0,40,proxy
2026-04-05 19:55:38,20260405_194739,54.0,54.0,54.0,41,proxy
2026-04-05 19:55:50,20260405_194739,56.0,56.0,56.0,42,proxy
2026-04-05 19:56:01,20260405_194739,58.0,58.0,58.0,43,proxy
2026-04-05 19:56:12,20260405_194739,58.0,58.0,58.0,44,proxy
2026-04-05 19:56:25,20260405_194739,60.0,60.0,60.0,45,proxy
2026-04-05 19:56:37,20260405_194739,62.0,62.0,62.0,46,proxy
2026-04-05 19:56:48,20260405_194739,64.0,64.0,64.0,47,proxy
2026-04-05 19:57:00,20260405_194739,66.0,66.0,66.0,48,proxy
2026-04-05 19:57:11,20260405_194739,68.0,68.0,68.0,49,proxy
2026-04-05 19:57:22,20260405_194739,70.0,70.0,70.0,50,proxy
2026-04-05 19:57:34,20260405_194739,72.0,72.0,72.0,51,proxy
2026-04-05 19:57:45,20260405_194739,74.0,74.0,74.0,52,proxy
2026-04-05 19:57:56,20260405_194739,76.0,76.0,76.0,53,proxy
2026-04-05 19:58:07,20260405_194739,78.0,78.0,78.0,54,proxy
2026-04-05 19:58:18,20260405_194739,78.0,78.0,78.0,55,proxy
2026-04-05 19:58:29,20260405_194739,80.0,80.0,80.0,56,proxy
2026-04-05 19:58:40,20260405_194739,82.0,82.0,82.0,57,proxy
2026-04-05 19:58:52,20260405_194739,84.0,84.0,84.0,58,proxy
2026-04-05 19:59:03,20260405_194739,84.0,84.0,84.0,59,proxy
2026-04-05 19:59:14,20260405_194739,84.0,84.0,84.0,60,proxy
2026-04-05 23:52:13,20260405_235213,2.0,2.0,2.0,1,proxy
2026-04-05 23:52:25,20260405_235213,4.0,4.0,4.0,2,proxy
2026-04-05 23:52:37,20260405_235213,6.0,6.0,6.0,3,proxy
2026-04-05 23:52:49,20260405_235213,8.0,8.0,8.0,4,proxy
2026-04-05 23:53:02,20260405_235213,8.0,8.0,8.0,5,proxy
2026-04-05 23:53:14,20260405_235213,10.0,10.0,10.0,6,proxy
2026-04-05 23:59:09,20260405_235909,2.0,2.0,2.0,1,proxy
