iteration,timestamp,input,bug_type,is_new,exit_code
1,0.000,"'{""iVaqF"": -711668212, ""vspkejMciHjoio"": ""[\'DcdkpBsrb\', \'null\', \'True\', \'73\', \'False\']"", ""YOTQAGZCqavJkH"": """",",INVALIDITY,1,0
2,0.847,"'{""iVaqF"": -711668212, ""vspkejMciHjoio"": ""[\'DcdkpBsrb\', \'null\', \'True\', \'73\', \'False\']"", ""YOTQAGZCqavJkH"": """",",INVALIDITY,1,0
3,1.436,"'{""xzzafyoKRoVueBlf"": ""[\'c\', \'cTvymqzNhWtvNgdXmZiKRjjAwCPfrYwKzPwqFcLl\', \'null\', \'null\', \'66\', \'3\', \'68\', ",INVALIDITY,0,0
4,1.984,"'{""oj"": ""'",INVALIDITY,1,0
5,3.149,"'{""USyQbmhniGHDVckKeM"": ""[\'97\', \'NaZXyFOaGMoTYVGhbAawyIpvqskcFlrFwINKOFBkXEwttrsAxNzSgFTZNBsWcAKEcYbmudncgsjiJMXRqiMT",INVALIDITY,1,0
6,3.495,"'{""XZ'",INVALIDITY,0,0
7,3.788,"'{""unclosed"": '",INVALIDITY,1,0
8,4.202,"'{""oj"": ""'",INVALIDITY,0,0
9,4.566,"'{""unclosed"": '",INVALIDITY,0,0
10,4.853,"'{""FtmQHLztYc"": ""True"", {""nMjb"":    """"}'",INVALIDITY,1,0
11,5.126,"'{""unclosed"": '",INVALIDITY,0,0
12,5.417,"'{""iVaqF"": -711668212, ""vspkejMciHjoio"": ""[\'DcdkpBsrb\', \'null\', \'True\', \'73\', \'False\']"", ""YOTQAGZCqavJkH"": """",",INVALIDITY,0,0
13,5.744,"'{""fvwSuRQyViYl"": ""False"", ""SYCQZAdcQNLyopUKSQkd""Y """", ""UurAWtLHKXiGlFBE"": ""kmWJClpvpgPjkTlFBolyLuvCa:msgkBjnQQrCQCBEINo",INVALIDITY,1,0
14,6.104,"'{""unclosed"": '",INVALIDITY,0,0
15,6.432,'{bad json}',INVALIDITY,1,0
16,6.776,"'{""unclosed"":i '",INVALIDITY,1,0
17,7.118,"'{""USyQbmhniGHDVckKeM"": ""[\'97\', \'NaZXyFOaGMoTYVGhbAawyIpvqskcFlrFwINKOFBkXEwttrsAxNzSgFTZNBsWcAKEcYbmudncgsjiJMXRqiMT",INVALIDITY,0,0
18,7.392,'{bad jso',INVALIDITY,0,0
19,7.669,'{bad jsoqn}',INVALIDITY,0,0
20,8.476,"'{""BeN"": ""[\'False\', \'geyigWDUPR\', \'null'",INVALIDITY,0,0
21,9.007,"'{""oj"":"" '",INVALIDITY,0,0
22,9.539,"'{""unclosed"": '",INVALIDITY,0,0
23,9.822,"'{""AhZlLTxYQyl"": ""[\'DWQggboJCLiPuzAflrkhJrJSiwEwvCnatyXrjRJgTWj\', \'99\', \'null\', \'null\''",INVALIDITY,0,0
24,10.101,"'{""a"": }'",INVALIDITY,0,0
25,10.380,"'{""FtmQHLztYc"": ""True"", {""nMjb"": 999999999999999999999999   """"}'",INVALIDITY,0,0
26,10.927,"'{""'",INVALIDITY,0,0
27,10.928,"'{""FtmQ\x00HLztYc"": ""True"", {""nMjb"":    """"}'",RELIABILITY,1,-1
28,10.929,"'{s""FtmQ\x00HLztYc"": ""True"", {""nMjb"":    """"}'",RELIABILITY,0,-1
29,11.198,"'{""USyQbmhniGHDVckKeM"": ""[\'97\', \'NaZXyFOaGMoTYVGhbAawyIpvqskcFlrFwINKOFBkXEwttrsAxNzSgFTZNBsWcAKEcYbmudncgsjiJMXRqiMT",INVALIDITY,0,0
30,11.199,"'{r""FtmQ\x00HLztYc"": ""True"", {""nMjb"":    """"}'",RELIABILITY,0,-1
31,12.036,"'{""FtmQHLztYc"": ""True"", {""nMjb"":    """"}'",INVALIDITY,0,0
32,12.322,"'{""oj"": """", ""aukyfZDivqQSdY"": 1242967618, ""oZTP"": ""VJsJCeEGhVDwTryaZMcc'",INVALIDITY,0,0
33,12.605,"'{""OFwWblovt"": ""True"", ""MkIPnvwGyBmlkJBq"": ""IeqowbDOjFuCtVZMrrueCBjHHFydGMgkuuKCirSPwmtcWdtqDTU"", ""FwYHcOyK"": """", ""SYgfN",INVALIDITY,1,0
34,13.697,'{bad json}',INVALIDITY,0,0
35,13.968,"'{""fvwSuRQyViYl"": ""False"", ""SYCQZAdcQNLyopUKSQkd""Y """", ""UurAWtLHKXiGlFBE"": ""kmWJClpvpgPjkTlFBolyLuvCa:msgkBjnQQrCQBE"": """,INVALIDITY,0,0
36,14.244,"'{""iVaqF"": -711668212, ""vspkejMciHjoio"": ""[\'DcdkpBsrb\', \'null\', \'True\', \'73\', \'False\']"", ""YOTQAGZCqavJkH"": """",",INVALIDITY,0,0
37,14.516,"'\r{""oj"": ""'",INVALIDITY,0,0
38,14.786,"'{""K"": -743739116, ""HVLXXhuiDPU"": """", ""syHeiLze"": ""waytsfdGbfFXUwQjwGXKTSwdNABMUkmrEs"", ""PranGjKjOLiws"": ""[\'PlrBJgHFVWE",INVALIDITY,0,0
39,15.056,"'{{""unclosed"":i '",INVALIDITY,0,0
40,15.325,"'{""IIDjThXMaOjf"": """", ""PHQU"": '",INVALIDITY,0,0
41,15.595,"'{""FlgSemMZYhq\revulYie"": ""False"", ""HR"": -968955551}'",INVALIDITY,0,0
42,16.131,"'{""__complex__"": true,"" ""real"": 1, ""imag"": 2}'",INVALIDITY,1,0
43,16.406,"'{""unclosed"": '",INVALIDITY,0,0
44,16.934,"'{""FtmQ\x00HLztYc"": ""TrueM"", {""nMjb"":    """"}'",RELIABILITY,0,-1
45,17.207,"'{""fvwSuRQyViYl"": ""False"", ""SYCQZAdcQNLyopUKSQkd""Y """", ""UurAWtLHKXiGlFBE"": ""kmWJClpvpgPjkTlFBolyL9uvCa:msgkBjnQQrCQCBEIN",INVALIDITY,0,0
46,17.480,"'{""USyQbmhniGHDVckKeM"": ""[\'97\', \'NaZXyFOaGMoTYVGhbAawyIpvqskcFlrFwINKOFBkXEwttrsAxNzSgFTZNBsWcAKEcYbmudncgsjiJMXRqiMT",INVALIDITY,0,0
47,17.756,"'{""USyQbmhniGHDVckKeM"": ""[\'97\', \'NaZXyFOaGMoTYVGhbAawyIpvqskcFlrFwINKOFBkXEwttrsAxNzSgFTZNBsWcAKEcYbmudncgsjiJMXRqiMT",INVALIDITY,0,0
48,18.025,"'{""FtmQ\x00HLzYtc"": ""True"", {""nMjb"":    """"}'",RELIABILITY,0,-1
49,18.300,"'{""a"": }'",INVALIDITY,0,0
50,18.570,"'{""fvwSuRQyViYl"": ""False"", ""SYCQZAdcQNLyopUKSQkd"": """", ""UurAWtLHKXiGlFBE"": ""kmWJClpvpgPjkTlFBolyLuvCaYmsgkBjnQQrCQCBEINo",INVALIDITY,0,0
51,18.849,"'{""FtmQHL'",INVALIDITY,0,0
52,19.123,"'{""iVaqF"": -711668212, ""vspkejMciHjoio"": ""[\'DcdkpBsrb\', \'null\', \'True\', \'73\', \'Fals \']"", ""YOTQAGZCqavJkH"": """",",INVALIDITY,0,0
53,19.402,"'{""USyQbmhniGHDVckKeM"": ""[\'97\', \'NaZXyFOaGMoTYVGhbAawyIpvqskcFlrFwINKOFBkXEwttrsAxNzSgFTZNBsWcAKEcYbmudncgsjiJMXRqiMT",INVALIDITY,0,0
54,19.944,'{b[ad json}',INVALIDITY,0,0
55,20.746,"'{""FtmQHLztYc"": ""True"", {""nMjb"":   \\ """"}'",INVALIDITY,0,0
56,20.746,"'{""FtmQ\x00HLztYc"": ""T%00rue"", {""nMjb"":    """"}'",RELIABILITY,0,-1
57,21.025,"'{""lQnwYaddimUGZWNUEWTE"": ""[\'ivAuZcitquQTQtYSwjhlteqEqLuLSHlCbticBPdsJxntPGMD\x0cweGeDFwrSQBIZvLTeHskGr\', \'1\', \'Fal",INVALIDITY,0,0
58,21.299,"'{""FtmQHLztYc"": ""Tòue"", {""nMjb"":    """"}'",INVALIDITY,0,0
59,21.839,'{bad js',INVALIDITY,0,0
60,21.839,"'{""FtmQ\x00HLztYc"": ""True"", {""nMjb"":    {""nMjb"":    {""nMjb"":    {""nMjb"":    {""nMjb"":    {""nMjb"":    {""nMjb"":    {""nMjb"":",RELIABILITY,0,-1
61,22.116,"'{""iVaqF"": -711668212, ""vspkejMciHjoio"": ""[\'DcdkpBsrb\', \'null\', \'True\', \'73\', \'False\']"", ""YOTQAGZCqavJkH"": """",",INVALIDITY,0,0
62,22.390,"'{""FtmQHLztYc"": ""True"", {""nMjb"":    '",INVALIDITY,0,0
63,22.661,"'{""unclosed"": '",INVALIDITY,0,0
64,22.938,'{bsd jaon}',INVALIDITY,0,0
65,23.216,"'{""OFwWblovt"": ""True"", ""MkIPnvwGyBmlkJBq"": ""IeqowbDOjFuCtVZMrrueCBjHHFydGMgkuuKCirSPwmtcWdtqDTU"", ""FwYHcOyK"": """", ""SYgfN",INVALIDITY,0,0
66,23.488,"'{""unc3losed"":i '",INVALIDITY,0,0
67,24.037,"'{""unclosed"": '",INVALIDITY,0,0
68,24.317,"'{""a"": }'",INVALIDITY,0,0
69,24.598,"'{""a"": }'",INVALIDITY,0,0
70,24.868,"'{""iVaqF"": -711668212, ""vspkejMciHjoio"": ""[\'DcdkpBsrb\', \'null\', \'True\', \'73\', \'False\']"", ""YOTQAGZCqavJkH"": """",",INVALIDITY,0,0
71,25.138,"'{""OFwWblovt"": ""True"", ""MkIPnvwGyBmlkJBq"": ""IeqowbDOjFuCtVZMrrueCBjHHFydGMgkuuKCirSPwmtcWdtqDTU"", ""FwYHcOyK"": """", ""SYgfN",INVALIDITY,0,0
72,25.438,"'{""iVaqF"": -711668212, ""vspkejMciHjoio"": ""[\'DcdkpBsrb\', \'null\', \'True\', \'73\', \'False\']"", ""YOTQAGZCqavJkH"": """",",INVALIDITY,0,0
73,25.971,"'{""iVaqF"": -711668212, ""vspkejMciHjoio"": ""[\'DcdkpBsrb\', \'null\', \'True\', \'73\', \'False\']"", ""YOTQAGZCqavJkH"": """",",INVALIDITY,0,0
74,26.763,"'{""unclosed"": '",INVALIDITY,0,0
