iteration,elapsed_s,runs_total,bugs_unique,corpus_size,runs_per_sec
50,1.2,50,2,0,41.57
100,2.3,100,2,0,42.77
150,3.7,150,2,0,40.68
200,5.3,200,2,0,37.59
250,6.8,250,2,0,36.53
300,8.0,300,2,0,37.33
350,9.2,350,2,0,38.00
400,10.4,400,2,0,38.41
450,11.6,450,2,0,38.78
500,12.8,500,2,0,38.94
550,14.2,550,2,0,38.86
600,15.4,600,2,0,38.97
650,16.6,650,2,0,39.06
700,17.9,700,2,0,39.15
750,19.0,750,2,0,39.37
800,20.3,800,2,0,39.47
850,21.5,850,2,0,39.58
900,22.7,900,2,0,39.64
950,23.9,950,2,0,39.76
1000,25.1,1000,2,0,39.87
1050,26.3,1050,2,0,39.98
1100,27.4,1100,2,0,40.11
1150,28.6,1150,2,0,40.21
1200,29.8,1200,2,0,40.26
1250,31.0,1250,2,0,40.28
1300,32.2,1300,2,0,40.37
1350,33.4,1350,2,0,40.38
1400,34.6,1400,2,0,40.49
1450,35.8,1450,2,0,40.54
1500,36.9,1500,2,0,40.60
1550,38.1,1550,2,0,40.65
1600,39.3,1600,2,0,40.71
1650,40.5,1650,2,0,40.72
1700,41.7,1700,2,0,40.73
1750,42.9,1750,2,0,40.76
1800,44.2,1800,2,0,40.75
1850,45.3,1850,2,0,40.80
1900,46.6,1900,2,0,40.81
1950,47.8,1950,2,0,40.79
2000,49.0,2000,2,0,40.81
2050,50.2,2050,2,0,40.84
2100,51.5,2100,2,0,40.78
2150,52.7,2150,2,0,40.77
2200,54.0,2200,2,0,40.74
2250,55.1,2250,2,0,40.80
2300,56.4,2300,2,0,40.79
2350,57.6,2350,2,0,40.82
2400,58.7,2400,2,0,40.88
