timestamp,run_id,statement_coverage,branch_coverage,function_coverage,total_inputs,coverage_source
2026-04-04 10:22:47,20260404_102247,24.46,21.74,23.64,1,instrumented
2026-04-04 10:22:49,20260404_102247,24.46,21.74,23.64,2,instrumented
2026-04-04 10:22:51,20260404_102247,24.46,21.74,23.64,3,instrumented
2026-04-04 10:22:53,20260404_102247,24.46,21.74,23.64,4,instrumented
2026-04-04 10:22:55,20260404_102247,24.46,22.46,23.86,5,instrumented
2026-04-04 10:22:57,20260404_102247,24.46,22.46,23.86,6,instrumented
2026-04-04 10:22:59,20260404_102247,36.84,31.88,35.36,7,instrumented
2026-04-04 10:23:01,20260404_102247,36.84,31.88,35.36,8,instrumented
2026-04-04 10:23:03,20260404_102247,36.84,31.88,35.36,9,instrumented
2026-04-04 10:23:05,20260404_102247,38.08,34.06,36.88,10,instrumented
2026-04-04 10:23:07,20260404_102247,39.01,35.51,37.96,11,instrumented
2026-04-04 10:23:09,20260404_102247,40.25,38.41,39.7,12,instrumented
2026-04-04 10:23:11,20260404_102247,40.56,39.13,40.13,13,instrumented
2026-04-04 10:23:13,20260404_102247,40.56,39.13,40.13,14,instrumented
2026-04-04 10:23:15,20260404_102247,40.56,39.13,40.13,15,instrumented
2026-04-04 10:23:17,20260404_102247,40.56,39.13,40.13,16,instrumented
2026-04-04 10:23:19,20260404_102247,40.56,39.13,40.13,17,instrumented
2026-04-04 10:23:21,20260404_102247,41.18,40.58,41.0,18,instrumented
2026-04-04 10:23:23,20260404_102247,41.49,41.3,41.43,19,instrumented
2026-04-04 10:23:25,20260404_102247,41.49,41.3,41.43,20,instrumented
2026-04-04 10:23:27,20260404_102247,41.49,41.3,41.43,21,instrumented
2026-04-04 10:23:29,20260404_102247,41.49,41.3,41.43,22,instrumented
2026-04-04 10:23:31,20260404_102247,41.49,41.3,41.43,23,instrumented
2026-04-04 10:23:33,20260404_102247,41.49,41.3,41.43,24,instrumented
2026-04-04 10:23:35,20260404_102247,41.49,41.3,41.43,25,instrumented
2026-04-04 10:23:37,20260404_102247,41.49,41.3,41.43,26,instrumented
2026-04-04 10:23:37,20260404_102247,22.0,22.0,22.0,27,proxy
2026-04-04 10:23:37,20260404_102247,22.0,22.0,22.0,28,proxy
2026-04-04 10:24:37,20260404_102437,21.36,15.94,19.74,1,instrumented
2026-04-04 10:24:52,20260404_102437,22.6,15.94,20.61,2,instrumented
2026-04-04 10:24:55,20260404_102437,29.41,22.46,27.33,3,instrumented
2026-04-04 10:24:58,20260404_102437,39.32,34.06,37.74,4,instrumented
2026-04-04 10:25:02,20260404_102437,39.32,34.06,37.74,5,instrumented
2026-04-04 10:25:06,20260404_102437,39.63,34.78,38.18,6,instrumented
2026-04-04 10:25:09,20260404_102437,39.63,34.78,38.18,7,instrumented
2026-04-04 10:25:12,20260404_102437,40.25,36.96,39.26,8,instrumented
2026-04-04 10:25:14,20260404_102437,40.25,36.96,39.26,9,instrumented
2026-04-04 10:25:17,20260404_102437,40.25,36.96,39.26,10,instrumented
2026-04-04 10:25:20,20260404_102437,40.25,36.96,39.26,11,instrumented
2026-04-04 10:25:22,20260404_102437,40.25,36.96,39.26,12,instrumented
2026-04-04 10:25:25,20260404_102437,41.49,39.86,41.0,13,instrumented
2026-04-04 10:25:28,20260404_102437,41.49,39.86,41.0,14,instrumented
2026-04-04 10:25:31,20260404_102437,41.49,39.86,41.0,15,instrumented
2026-04-04 10:25:33,20260404_102437,41.49,39.86,41.0,16,instrumented
2026-04-04 10:25:36,20260404_102437,41.49,39.86,41.0,17,instrumented
