bug_type,exc_type,exc_message,filename,lineno,count
bonus,ParseException,"Expected ':', found '.'  (at char 1), (line:1, col:2)",pyparsing\core.py,1340,9
bonus,ParseException,"Expected ':', found '.'  (at char 3), (line:1, col:4)",pyparsing\core.py,1340,6
bonus,ParseException,"Expected ':', found end of text  (at char 15), (line:1, col:16)",pyparsing\core.py,1340,1
bonus,ParseException,"Expected ':', found end of text  (at char 3), (line:1, col:4)",pyparsing\core.py,1340,3
bonus,ParseException,"Expected ':', found end of text  (at char 34), (line:1, col:35)",pyparsing\core.py,1340,3
bonus,ParseException,"Expected W:(0-9A-Fa-f){1,5}, found ' '  (at char 15), (line:1, col:16)",pyparsing\core.py,1340,3
bonus,ParseException,"Expected W:(0-9A-Fa-f){1,5}, found end of text  (at char 5), (line:1, col:6)",pyparsing\core.py,1340,3
bonus,ParseException,"Expected end of text, found '.'  (at char 10), (line:1, col:11)",pyparsing\core.py,1340,3
bonus,ParseException,"Expected end of text, found '.'  (at char 3), (line:1, col:4)",pyparsing\core.py,1340,3
bonus,ParseException,"Expected end of text, found '.'  (at char 5), (line:1, col:6)",pyparsing\core.py,1340,3
bonus,ParseException,"Expected end of text, found '.'  (at char 6), (line:1, col:7)",pyparsing\core.py,1340,3
bonus,ParseException,"Expected end of text, found '.'  (at char 8), (line:1, col:9)",pyparsing\core.py,1340,6
bonus,ParseException,"Expected end of text, found '0'  (at char 40), (line:1, col:41)",pyparsing\core.py,1340,3
bonus,ParseException,"Expected end of text, found '6'  (at char 10), (line:1, col:11)",pyparsing\core.py,1340,3
bonus,ParseException,"Expected end of text, found ':'  (at char 10), (line:1, col:11)",pyparsing\core.py,1340,6
bonus,ParseException,"Expected end of text, found ':'  (at char 11), (line:1, col:12)",pyparsing\core.py,1340,3
bonus,ParseException,"Expected end of text, found ':'  (at char 25), (line:1, col:26)",pyparsing\core.py,1340,3
bonus,ParseException,"Expected end of text, found ':'  (at char 4), (line:1, col:5)",pyparsing\core.py,1340,3
bonus,ParseException,"Expected end of text, found ':'  (at char 9), (line:1, col:10)",pyparsing\core.py,1340,3
bonus,ParseException,"Expected end of text, found 'k'  (at char 23), (line:1, col:24)",pyparsing\core.py,1340,3
bonus,ParseException,"Expected {W:(0-9A-Fa-f){1,5} ^ Group:({Combine:({['0']... ^ {Suppress:(['0']) (1-9)} ^ {Suppress:(['0']) W:(1-9, 0-9){2}} ^ {Suppress:(['0']) '1' W:(0-9){2}} ^ {Suppress:(['0']) '2' W:(0-4, 0-9){2}} ^ {Suppress:(['0']) '25' (0-4)}}) {Suppress:('.') Combine:({['0']... ^ {Suppress:(['0']) (1-9)} ^ {Suppress:(['0']) W:(1-9, 0-9){2}} ^ {Suppress:(['0']) '1' W:(0-9){2}} ^ {Suppress:(['0']) '2' W:(0-4, 0-9){2}} ^ {Suppress:(['0']) '25' (0-4)}})} {Suppress:('.') Combine:({['0']... ^ {Suppress:(['0']) (1-9)} ^ {Suppress:(['0']) W:(1-9, 0-9){2}} ^ {Suppress:(['0']) '1' W:(0-9){2}} ^ {Suppress:(['0']) '2' W:(0-4, 0-9){2}} ^ {Suppress:(['0']) '25' (0-4)}})} {Suppress:('.') Combine:({['0']... ^ {Suppress:(['0']) (1-9)} ^ {Suppress:(['0']) W:(1-9, 0-9){2}} ^ {Suppress:(['0']) '1' W:(0-9){2}} ^ {Suppress:(['0']) '2' W:(0-4, 0-9){2}} ^ {Suppress:(['0']) '25' (0-4)}})}})}, found ':'  (at char 32), (line:1, col:33)",pyparsing\core.py,1340,3
bonus,ParseException,"Expected {W:(0-9A-Fa-f){1,5} ^ Group:({Combine:({['0']... ^ {Suppress:(['0']) (1-9)} ^ {Suppress:(['0']) W:(1-9, 0-9){2}} ^ {Suppress:(['0']) '1' W:(0-9){2}} ^ {Suppress:(['0']) '2' W:(0-4, 0-9){2}} ^ {Suppress:(['0']) '25' (0-4)}}) {Suppress:('.') Combine:({['0']... ^ {Suppress:(['0']) (1-9)} ^ {Suppress:(['0']) W:(1-9, 0-9){2}} ^ {Suppress:(['0']) '1' W:(0-9){2}} ^ {Suppress:(['0']) '2' W:(0-4, 0-9){2}} ^ {Suppress:(['0']) '25' (0-4)}})} {Suppress:('.') Combine:({['0']... ^ {Suppress:(['0']) (1-9)} ^ {Suppress:(['0']) W:(1-9, 0-9){2}} ^ {Suppress:(['0']) '1' W:(0-9){2}} ^ {Suppress:(['0']) '2' W:(0-4, 0-9){2}} ^ {Suppress:(['0']) '25' (0-4)}})} {Suppress:('.') Combine:({['0']... ^ {Suppress:(['0']) (1-9)} ^ {Suppress:(['0']) W:(1-9, 0-9){2}} ^ {Suppress:(['0']) '1' W:(0-9){2}} ^ {Suppress:(['0']) '2' W:(0-4, 0-9){2}} ^ {Suppress:(['0']) '25' (0-4)}})}})}, found end of text  (at char 2), (line:1, col:3)",pyparsing\core.py,1340,3
