iteration,timestamp,input,bug_type,is_new,exit_code
1,4.715,2001:0db8:85a3:0000:0000:8a2e:0370:7334,normal,0,0
2,8.656,2001:db8:85a3:0:0:8a2e:370:7334,normal,0,0
3,12.368,2001:0000:1234:0000:0000:C1C0:ABCD:0876,normal,0,0
4,16.158,0000:0000:0000:0000:0000:0000:0000:0001,normal,0,0
5,19.974,0000:0000:0000:0000:0000:0000:0000:0000,normal,0,0
6,23.674,1:2:3:4:5:6:7:8,normal,0,0
7,27.227,FF02:0000:0000:0000:0000:0000:0000:0001,normal,0,0
8,31.035,3ffe:0b00:0000:0000:0001:0000:0000:000a,normal,0,0
9,34.843,::1,normal,0,0
10,38.635,::2:3:4:5:6:7:8,normal,0,0
11,42.600,2001:db8::,normal,0,0
12,46.155,2001::,normal,0,0
13,49.679,fe80::,normal,0,0
14,53.193,fc00::,normal,0,0
15,56.657,ff02::1,normal,0,0
16,60.321,2002::,normal,0,0
17,63.895,2001:10::,normal,0,0
18,67.577,1::,normal,0,0
19,71.164,1:2::,normal,0,0
20,74.657,1:2:3::,normal,0,0
21,78.153,1:2:3:4::,normal,0,0
22,81.876,1:2:3:4:5:6::,normal,0,0
23,85.441,1:2:3:4:5::,normal,0,0
24,89.049,2001:0db8::1428:57ab,normal,0,0
25,92.649,2001:0db8:0:0::1428:57ab,normal,0,0
26,96.160,2001:DB8::8:800:200C:417A,normal,0,0
27,99.791,FF01::101,normal,0,0
28,103.470,::127.0.0.1,normal,0,0
29,106.955,::ffff:192.168.1.1,normal,0,0
30,110.605,::ffff:0:0,normal,0,0
31,114.105,::13.1.68.3,normal,0,0
32,117.614,::FFFF:129.144.52.38,normal,0,0
33,121.091,fe80::217:f2ff:254.7.237.98,normal,0,0
34,124.472,2001:db8::192.0.2.33,normal,0,0
35,127.969,1:2:3:4:5:6:1.2.3.4,normal,0,0
36,131.596,1:2:3:4::1.2.3.4,normal,0,0
37,135.374,::ffff:192.0.2.128,normal,0,0
38,138.927,fe80:0000:0000:0000:0204:61ff:fe9d:f156,normal,0,0
39,142.453,FE80::204:61FF:FE9D:F156,normal,0,0
40,145.933,2001:DB8:0:0:8:800:200C:417A,normal,0,0
41,149.486,::ffff:0c22:384e,normal,0,0
42,152.915,2001:0db8:1234:ffff:ffff:ffff:ffff:ffff,normal,0,0
43,156.258,2001:db8:a::123,normal,0,0
44,159.715,127.0.0.1,bonus,1,0
45,163.208,192.168.1.1,bonus,0,0
46,166.601,1.2.3.4,bonus,1,0
47,170.039,3ffe:0b00:0000:0001:0000:0000:000a,bonus,1,0
48,173.439,FF02:0000:0000:0000:0000:0000:0000:0000:0001,invalidity,1,0
49,176.782,1:2:3:4:5:6:7:8:9,invalidity,0,0
50,180.269,2001:DB8:0:0:8:800:200C:417A:221FF01::101::2,invalidity,1,0
51,183.726,3ffe:b00::1::a,bonus,1,0
52,187.058,::1111:2222:3333:4444:5555:6666::,bonus,1,0
53,190.332,1:2:3::4:5::7:8,bonus,1,0
54,193.699,2001::FFD3::57ab,bonus,0,0
55,197.260,1::2::3,bonus,1,0
56,200.915,FF01::101::2,bonus,1,0
57,204.260,::,bonus,0,0
58,207.760,1111:2222:3333:4444::5555:,bonus,1,0
59,211.259,:1111:2222:3333:4444::5555,bonus,1,0
60,214.984,1111:,bonus,1,0
61,218.471,:,bonus,0,0
62,221.932,:::,bonus,0,0
63,225.358,1::5:256.2.3.4,bonus,1,0
64,228.848,1::5:1.256.3.4,bonus,1,0
65,232.282,::1.2.3.256,bonus,1,0
66,236.396,::300.2.3.4,bonus,1,0
67,240.332,::1.300.3.4,bonus,1,0
68,243.876,02001:0000:1234:0000:0000:C1C0:ABCD:0876,invalidity,0,0
69,247.495,2001:0000:1234:0000:00001:C1C0:ABCD:0876,invalidity,0,0
70,251.351,12345::6:7:8,invalidity,0,0
71,254.926,2001:db8:85a3::8a2e:37023:7334,invalidity,0,0
72,258.640,2001:db8:85a3::8a2e:370k:7334,bonus,1,0
73,262.391,ldkfj,bonus,0,0
74,266.122,123,bonus,1,0
75,269.687,2001:0000:1234:0000:0000:C1C0:ABCD:0876 0,bonus,1,0
76,273.138,2001:0000:1234: 0000:0000:C1C0:ABCD:0876,bonus,1,0
77,276.886,1.2.3.4:1111:2222:3333:4444::5555,bonus,0,0
78,280.485,1.2.3.4::,bonus,0,0
79,283.952,::ffff:2.3.4,bonus,0,0
80,287.325,::ffff:257.1.2.3,bonus,1,0
